Country,SBP,DBP
Papua New Guinea,121.27575162682926,72.16622195121951
Paraguay,125.5181420597561,77.81300298414634
Peru,120.77912429268294,73.66662895451219
Philippines,120.8123925012195,76.41059453829268
Poland,131.29829139756097,81.52451929573171
Portugal,128.6158166597561,78.00349292609756
Puerto Rico,124.48362461707316,78.596100325
Qatar,128.32877398536587,80.8744933612195
Romania,129.86225041951218,80.00057671439023
Russian Federation,130.1092815195122,82.70445621524391
Rwanda,124.47702512926828,76.8934945997561
Saint Kitts and Nevis,127.40327488902439,77.44714424621951
Saint Lucia,126.00733443902439,77.91046808621951
Saint Vincent and the Grenadines,125.11865377926829,77.47690528926829
Samoa,124.91796303414634,76.25894989219512
Sao Tome and Principe,132.4820784695122,79.40792000036585
Saudi Arabia,126.09016085731706,78.08536008585367
Senegal,129.77084190609756,79.08093228987805
Serbia,131.66750059390245,81.70757755585366
Seychelles,129.56801082804878,80.44764190719512
Sierra Leone,130.58483986829268,80.16664316743903
Singapore,124.45816982073171,75.73655567926829
Slovakia,128.85119710365854,80.23194823817073
Slovenia,132.2907245585366,80.84243900902439
Solomon Islands,121.30682368536584,71.76272744463415
Somalia,128.62585088536585,78.1262998897561
South Africa,128.64787320487807,81.2026644847561
South Korea,120.1332540597561,76.07546799170731
Spain,125.92797297439024,76.99535879902439
Sri Lanka,123.02227442682927,74.06533801439024
Sudan,126.57941501463415,76.92441114256097
Suriname,126.15129725731707,78.46057364634147
Swaziland,128.2616032207317,80.0468949940244
Sweden,128.39390100731708,78.09310273987805
Switzerland,125.42111638536585,76.73270194634146
Syrian Arab Republic,128.17297762439026,78.02554014719512
Taiwan,119.39179272804877,75.33398101695121
Tajikistan,126.95081194390244,78.7941119992683
Tanzania,126.48034966097562,75.13031258317073
Thailand,120.35985912439024,75.10943323646342
Timor-Leste,123.65798592317073,77.81941116987805
Togo,128.03019773658536,78.10759304414634
Tokelau,122.21338293414634,73.21150086280488
Tonga,126.13081233414634,75.55000280609755
Trinidad and Tobago,122.62762563902439,76.22682667341464
Tunisia,126.89429888780488,76.64393504731707
Turkey,123.80258623902438,77.38645343280488
Turkmenistan,127.64970288902438,80.27577304207317
Tuvalu,127.7656497902439,76.98111558804878
Uganda,124.95186265731706,77.48223780585366
Ukraine,131.7755976317073,83.54288907780487
United Arab Emirates,127.02658199756098,79.38124899634145
United Kingdom,127.7036751792683,74.69044288097561
United States of America,121.33836084878048,74.18571013853658
Uruguay,127.60943327073171,78.53626741280488
Uzbekistan,125.37767327682927,78.15297998756097
Vanuatu,128.12387414756097,75.77327999902438
Venezuela,126.60878376829268,78.75296111085366
Viet Nam,121.38216507560976,75.14528892341464
Yemen,126.07185244634145,77.02022050121951
Zambia,128.6525732487805,77.56522765073171
Zimbabwe,127.71321536097561,79.3251992154878
